"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"012217","fBiz00000108410000000061","千葉県","柏市","スーパースポーツゼビオ セブンパークアリオ柏店","スーパースポーツゼビオ セブンパークアリオカシワテン","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","千葉県柏市大島田1丁目8-1","",35.833412,140.012990,"04-7137-7023","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"012217","fBiz00000108410000000366","千葉県","柏市","ダンロップスポーツ24豊四季","ダンロップスポーツニジュウヨントヨシキ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","千葉県柏市豊四季台4丁目1番1号","",35.862358,139.955756,"04-7128-5690","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"012217","fBiz00000108410000000369","千葉県","柏市","ダンロップスポーツ24豊四季","ダンロップスポーツニジュウヨントヨシキ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","千葉県柏市豊四季台4丁目1番1号","",35.862358,139.955756,"04-7128-5690","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"012217","fBiz00000108410000000751","千葉県","柏市","ホットヨガスタジオLAVA柏","ホットヨガスタジオラバカシワ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","千葉県柏市柏2-3-1","フーサワビル 7F",35.861280,139.972764,"042-314-0462","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"012217","fBiz00000108410000000851","千葉県","柏市","エニタイムフィットネス柏風早","エニタイムフィットネスカシワカザハヤ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","千葉県柏市風早1-3-13 1F","",35.831369,140.011611,"04-7179-5736","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"012217","fBiz00000114570000000030","千葉県","柏市","ローソンストア１００　柏千代田店","ローソンストアヒャク　カシワチヨダテン","① 飲食店営業","コンビニエンスストア","千葉県柏市千代田1丁目2番50号","",35.858276,139.974543,"0471650199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","06-001-0120",2024/05/14,2024/05/14,2024/05/14,2031/05/31,"","許可","  ",""
"012217","fBiz00000114570000000030","千葉県","柏市","ローソンストア１００　柏千代田店","ローソンストアヒャク　カシワチヨダテン","⑩ コンビニエンスストア","コンビニエンスストア","千葉県柏市千代田1丁目2番50号","",35.858276,139.974543,"0471650199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"012217","fBiz00000114570000000206","千葉県","柏市","ローソンストア１００　南柏一丁目店","ローソンストアヒャク　ミナミカシワイッチョウメテン","① 飲食店営業","コンビニエンスストア","千葉県柏市南柏１－１－３","",35.845149,139.954359,"0471463520","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","第04-001-0615",2023/02/24,2023/02/24,2023/02/24,2029/02/28,"","許可","",""
"012217","fBiz00000114570000000206","千葉県","柏市","ローソンストア１００　南柏一丁目店","ローソンストアヒャク　ミナミカシワイッチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","千葉県柏市南柏１－１－３","",35.845149,139.954359,"0471463520","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"012217","fBiz00000115920000000395","千葉県","柏市","カルディコーヒーファーム　柏モディ店","カルディコーヒーファーム　カシワモディテン","⑬ その他の食料・飲料販売業","食品販売","千葉県柏市柏1-2-26　","柏モディ　1Ｆ",35.860420,139.970740,"04-7113-5111","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"012217","fBiz00000115920000000398","千葉県","柏市","カルディコーヒーファーム　セブンパーク　アリオ柏店","カルディコーヒーファーム　セブンパーク　アリオカシワテン","⑬ その他の食料・飲料販売業","食品販売","千葉県柏市大島田1丁目6-1　","セブンパークアリオ柏　1階",35.833648,140.012745,"04-7193-2300","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
